photo_id,filename,source_session_filename,component_id,description,sha256,bytes,privacy_processing
TD-20260913-160,TD-20260913-160-y-carriage-plate-overview.jpg,76036.jpg,PRUSA-001,Y-axis bed carriage plate overview,af9c1d5c837ee2d60b8ac335e9fda7c2527ae55281d7b58206e79c92a1c3895e,521371,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-161,TD-20260913-161-main-frame-overview.jpg,76037.jpg,,Main frame overview,e462cfe651e20e4906856cfccb2109673ef69d4896412adca09d9f0cf9518005,530007,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-162,TD-20260913-162-main-frame-height-measurement.jpg,76040.jpg,,Main frame height measurement,57be3d6d084de38d5aca45389693a9207d71ee7f65ae2b4274869eb58c80f3a2,518821,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-163,TD-20260913-163-main-frame-width-measurement-detail.jpg,76041.jpg,,Main frame width measurement detail,faa2584eb150402652d162f3e3d1870eecfe8cfe47723e6fe4963bcddee1c83c,230582,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-164,TD-20260913-164-main-frame-overview-with-ruler.jpg,76042.jpg,,Main frame overview with ruler,858117d327a3815e0cddae5359c031e483f90c28c4e605a5b9d38089f0697812,519873,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-165,TD-20260913-165-main-frame-width-measurement.jpg,76043.jpg,,Main frame width measurement,6e5da7482e6ad049e21e8684ead05076cb69404ac8dcc0179d388b5ca4759d77,350015,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-166,TD-20260913-166-main-frame-overview-measurement.jpg,76044.jpg,,Main frame overview measurement,0b31ab0497d4f00c145fb0d1585f0f782e424df02b2755e8372988ee1b010277,550757,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-167,TD-20260913-167-main-frame-edge-measurement-01.jpg,76045.jpg,,Main frame edge measurement 01,70fd4fc0a12eb180d6d5611599ddde299dcfce7a2baff0c5914199874e477c7a,544246,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-168,TD-20260913-168-main-frame-edge-measurement-02.jpg,76046.jpg,,Main frame edge measurement 02,f37f601c66612ee52543dbb6d2830df1a208e431746d823e9483cafa88071489,408588,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-169,TD-20260913-169-main-frame-cutout-measurement.jpg,76047.jpg,,Main frame cutout measurement,138bfde6b2fdea8493cb0ad758ff77a3f98f8a9a02ee7564aa282864dc6c3692,408643,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-170,TD-20260913-170-main-frame-height-measurement-detail.jpg,76048.jpg,,Main frame height measurement detail,8644236addf30ba0d3f95ba919e0c2cf7b9d13ebf33f33caaf5e3ba513864fff,278267,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-171,TD-20260913-171-y-carriage-plate-height-measurement.jpg,76049.jpg,PRUSA-001,Y-axis bed carriage plate height measurement,d11d5e8eaa69a79960b4e770b51c50d4f0e518b4716516afbed5ba3376b065ba,481804,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-172,TD-20260913-172-y-carriage-plate-detail-measurement.jpg,76050.jpg,PRUSA-001,Y-axis bed carriage plate detail measurement,5fb2a2a1787c1e57cae444f58a89017d2774c02dd6eb3af269f170e9a6f90a43,456926,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-173,TD-20260913-173-y-carriage-plate-overview-with-ruler.jpg,76051.jpg,PRUSA-001,Y-axis bed carriage plate overview with ruler,cadfc55d25fd968b93dc5dcf094c40ac418437e3d73bccdc6a24a4808e361e4f,421173,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-174,TD-20260913-174-m5-threaded-rods-310mm.jpg,76054.jpg,PRUSA-004,"2x M5 threaded rods, 310 mm",bae93b4a63f815a897d5a121c0e341520e2824268b4afedc3b63c2df23dbddbe,595352,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-175,TD-20260913-175-m10-threaded-rods-350mm.jpg,image-1789317451762.jpg,PRUSA-002,"2x M10 threaded rods, 350 mm",89ac2aa374d2a164fe644b9e7a1c714b233e5c235374042ca5ee66db1cab7253,806102,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-176,TD-20260913-176-y-axis-smooth-rods-8mm-350mm.jpg,image-1789317704671.jpg,PRUSA-005,"2x 8 mm smooth rods, 350 mm; probable Y axis",a1827025e11342f267fedd4c5b419510f07141bda4f5adfaf3bf0c905d343210,921903,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-177,TD-20260913-177-z-axis-smooth-rods-8mm-330mm.jpg,image-1789317747331.jpg,PRUSA-006,"2x 8 mm smooth rods, 330 mm; probable Z axis",9584cfe12650bd92affd665bb81877a9aa03fe498ebb3f0252efbe78b51cab23,890354,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-178,TD-20260913-178-x-axis-smooth-rods-8mm-317mm.jpg,image-1789317784251.jpg,PRUSA-007,"2x 8 mm smooth rods, 317 mm; probable X axis",ec4e714ad31e6fcbac5698cc997c3405ec30de3156cebca411a73189a76fbf10,861395,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-179,TD-20260913-179-wantai-42byghw811-stepper-motors-overview.jpg,image-1789318118493.jpg,PRUSA-008,5x Wantai 42BYGHW811 NEMA 17 stepper motors overview,188257fe9bbf8e5cb2d1154962fdcf61389bd953b7d5bbba932fd32c5ba4a946,591732,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-180,TD-20260913-180-wantai-42byghw811-stepper-motors-labels.jpg,image-1789318309452.jpg,PRUSA-008,Wantai 42BYGHW811 stepper motors labels,7f2cf4793271b415ce7bda87285c128fa9b3f71a00c3e6a69c5862d8e515525d,524172,pixel re-encode; EXIF/XMP/GPS/device metadata removed
TD-20260913-181,TD-20260913-181-wantai-42byghw811-stepper-motor-label-closeup.jpg,image-1789318325863.jpg,PRUSA-008,Wantai 42BYGHW811 motor label close-up,d095ec199a76ae51c2f45720cbc73cf15ef4e566c2d9a187d316c78d75c818ea,318913,pixel re-encode; EXIF/XMP/GPS/device metadata removed
