id,phase,original_filename,repository_filename,description
RA-20260921-001,H,20260921_191327.jpg,RA-20260921-001-stage-h-wade-extruder-overview-with-large-and-small-gears-installed.jpg,Stage H: Wade extruder overview with large and small gears installed
RA-20260921-002,H,20260921_191337.jpg,RA-20260921-002-stage-h-wade-extruder-motor-side-overview.jpg,Stage H: Wade extruder motor-side overview
RA-20260921-003,H,20260921_191346.jpg,RA-20260921-003-stage-h-wade-extruder-idler-and-spring-tension-assembly-overview.jpg,Stage H: Wade extruder idler and spring-tension assembly overview
RA-20260921-004,H,20260921_191401.jpg,RA-20260921-004-stage-h-wade-extruder-motor-and-gear-train-oblique-view.jpg,Stage H: Wade extruder motor and gear train oblique view
RA-20260921-005,H,20260921_191409.jpg,RA-20260921-005-stage-h-wade-extruder-idler-spring-and-hobbed-bolt-area-close-up.jpg,Stage H: Wade extruder idler spring and hobbed-bolt area close-up
RA-20260921-006,H,20260921_191419.jpg,RA-20260921-006-stage-h-wade-extruder-small-gear-and-hobbed-bolt-bearing-detail.jpg,Stage H: Wade extruder small gear and hobbed-bolt bearing detail
RA-20260921-007,H,20260921_191426.jpg,RA-20260921-007-stage-h-wade-extruder-gear-mesh-close-up.jpg,Stage H: Wade extruder gear mesh close-up
RA-20260921-008,H,20260921_191428.jpg,RA-20260921-008-stage-h-wade-extruder-gear-train-and-idler-side-close-up.jpg,Stage H: Wade extruder gear train and idler-side close-up
RA-20260921-009,H,20260921_191434.jpg,RA-20260921-009-stage-h-wade-extruder-assembled-overview-with-motor-wiring-visible.jpg,Stage H: Wade extruder assembled overview with motor wiring visible
RA-20260921-010,H,20260921_191454.jpg,RA-20260921-010-stage-h-wade-extruder-assembled-front-side-overview.jpg,Stage H: Wade extruder assembled front-side overview
RA-20260921-011,H,20260921_191458.jpg,RA-20260921-011-stage-h-wade-extruder-large-gear-and-central-hobbed-bolt-detail.jpg,Stage H: Wade extruder large gear and central hobbed-bolt detail
RA-20260921-012,H,20260921_191507.jpg,RA-20260921-012-stage-h-wade-extruder-assembled-top-oblique-view.jpg,Stage H: Wade extruder assembled top oblique view
RA-20260921-013,H,20260921_191520.jpg,RA-20260921-013-stage-h-wade-extruder-large-gear-face-close-up.jpg,Stage H: Wade extruder large gear face close-up
RA-20260921-014,H,20260921_191526.jpg,RA-20260921-014-stage-h-wade-extruder-large-gear-and-hub-close-up.jpg,Stage H: Wade extruder large gear and hub close-up
